"","X","GEO.display.label","PROP_BA_2010","PROP_BA_2011","PROP_BA_2012","PROP_BA_2013","PROP_BA_2009","PROP_MHI_2010","PROP_MHI_2011","PROP_MHI_2012","PROP_MHI_2013","PROP_MHI_2009","PROP_MHV_2010","PROP_MHV_2011","PROP_MHV_2012","PROP_MHV_2013","PROP_MHV_2009","PERC_MHI_2009","PERC_MHV_2009","PERC_MHV_INCREASE","PERC_BA_2013","eligable","gentrified"
"91",91,"Census Tract 74.08",15,10.1,10.1,4.1,0.0340890973036342,17826,19175,19175,25058,17956,825000,472200,472200,390700,148800,0.0246913580246914,0.0246913580246914,0.981481481481482,0.222222222222222,1,0
"92",92,"Census Tract 74.09",3.4,3.2,3.2,0,0.052553105310531,26636,25369,25369,26862,30476,312200,318600,318600,275300,281600,0.179012345679012,0.259259259259259,0.382716049382716,0.0864197530864197,1,0
"93",93,"Census Tract 75.02",4.2,5.8,5.8,1.8,0.0836413708690331,31179,31458,31458,19559,34583,314500,293100,293100,251400,303200,0.253086419753086,0.302469135802469,0.0740740740740741,0.185185185185185,1,0
"94",94,"Census Tract 75.03",0,0,0,0,0.0296623644811564,31551,30313,30313,33512,34496,261500,235500,235500,247700,232300,0.246913580246914,0.148148148148148,0.740740740740741,0.0864197530864197,1,0
"95",95,"Census Tract 75.04",0,0,0,0,0.0459571788413098,20625,19519,19519,17372,18545,215600,195300,195300,217000,213700,0.037037037037037,0.0740740740740741,0.549382716049383,0.0864197530864197,1,0
"96",96,"Census Tract 76.01",0,0,0,4,0.0801205230244457,37687,40681,40681,43256,31949,283600,284400,284400,264300,259600,0.203703703703704,0.209876543209877,0.555555555555556,0.209876543209877,1,0
"97",97,"Census Tract 76.03",0,0,0,19.2,0.160422088572991,49744,49458,49458,53701,48246,240600,254400,254400,274200,234100,0.462962962962963,0.154320987654321,0.925925925925926,0.462962962962963,0,0
"98",98,"Census Tract 76.04",0,0,0,0,0.10677446954141,43968,51074,51074,52764,44087,403100,414200,414200,362500,316800,0.419753086419753,0.333333333333333,0.907407407407407,0.0864197530864197,0,0
"99",99,"Census Tract 76.05",3.5,4,4,1.7,0.0838641341546886,42152,41773,41773,42222,40186,268100,257500,257500,258000,271100,0.345679012345679,0.246913580246914,0.277777777777778,0.179012345679012,1,0
"100",100,"Census Tract 77.03",8,3.3,3.3,0,0.0799249492900608,31955,32220,32220,31737,33973,229300,235300,235300,221900,231500,0.234567901234568,0.141975308641975,0.290123456790123,0.0864197530864197,1,0
"101",101,"Census Tract 77.07",0,0,0,0,0.0886758409785933,38571,46680,46680,49068,30708,246500,247200,247200,260400,236900,0.185185185185185,0.166666666666667,0.833333333333333,0.0864197530864197,1,0
"102",102,"Census Tract 77.08",0,0,0,0,0.0760889570552147,35534,29063,29063,26761,33908,231700,217500,217500,195000,219300,0.222222222222222,0.0987654320987654,0.12962962962963,0.0864197530864197,1,0
"103",103,"Census Tract 77.09",0,0,0,0,0.0733760683760684,25451,28490,28490,33396,35357,236600,245300,245300,229800,263100,0.265432098765432,0.222222222222222,0.0987654320987654,0.0864197530864197,1,0
"104",104,"Census Tract 78.03",18.8,20.5,20.5,16,0.121817915445793,22685,25577,25577,32750,23099,250400,248300,248300,222300,234300,0.0617283950617284,0.160493827160494,0.259259259259259,0.438271604938272,1,0
"105",105,"Census Tract 78.04",11.2,0,0,0,0.0594303296703297,25208,26833,26833,36484,17500,225900,267100,267100,208800,251300,0.0185185185185185,0.197530864197531,0.0802469135802469,0.0864197530864197,1,0
"106",106,"Census Tract 78.06",13.1,11.1,11.1,8.4,0.0756344389555399,42171,42390,42390,37755,39639,255700,239500,239500,237800,215800,0.320987654320988,0.0802469135802469,0.845679012345679,0.333333333333333,1,0
"107",107,"Census Tract 78.07",0,0,0,8.4,0.0382299293513166,27917,26989,26989,28854,30345,232400,185000,185000,181500,231100,0.172839506172839,0.135802469135802,0.0432098765432099,0.333333333333333,1,0
"108",108,"Census Tract 78.08",3.2,0,0,11,0.0610338329764454,27531,24375,24375,31037,26688,232100,230500,230500,212200,204000,0.0987654320987654,0.0555555555555556,0.666666666666667,0.364197530864198,1,0
"109",109,"Census Tract 78.09",0,0,0,0,0.106762573629361,22109,21332,21332,34054,27969,211300,211800,211800,191900,202200,0.117283950617284,0.0493827160493827,0.265432098765432,0.0864197530864197,1,0
"110",110,"Census Tract 79.01",18.5,8.6,8.6,10.8,0.100268789337282,32692,31765,31765,38155,40614,389100,360500,360500,364400,386800,0.364197530864198,0.475308641975309,0.246913580246914,0.358024691358025,0,0
"111",111,"Census Tract 79.03",7.7,0,0,26.5,0.14896701754386,43304,43000,43000,42219,44360,294400,302000,302000,296400,293900,0.425925925925926,0.296296296296296,0.506172839506173,0.561728395061728,0,0
"112",112,"Census Tract 8.01",20.8,20.2,20.2,19.4,0.310374558960074,114732,118569,118569,119641,114098,708800,735500,735500,801800,724400,0.91358024691358,0.845679012345679,0.858024691358025,0.475308641975309,0,0
"113",113,"Census Tract 8.02",74.7,74,74,88,0.363728971962617,92000,92384,92384,113523,109698,771600,739400,739400,835800,767400,0.876543209876543,0.888888888888889,0.802469135802469,0.950617283950617,0,1
"114",114,"Census Tract 80.01",58.8,63.9,63.9,57,0.27618156424581,89128,94931,94931,100969,89234,483200,497200,497200,544900,476900,0.790123456790123,0.648148148148148,0.901234567901235,0.771604938271605,0,1
"115",115,"Census Tract 80.02",36.9,34.4,34.4,51.9,0.206849814126394,92874,96385,96385,108478,85824,483800,513200,513200,523100,469800,0.746913580246914,0.62962962962963,0.87037037037037,0.746913580246914,0,1
"116",116,"Census Tract 81",29,40.2,40.2,60.5,0.317081978798587,132321,128523,128523,127179,130195,645000,656900,656900,688800,640200,0.944444444444444,0.802469135802469,0.771604938271605,0.790123456790123,0,1
"117",117,"Census Tract 82",70.9,71.3,71.3,44,0.507759663865546,83214,85484,85484,92385,82500,788900,764700,764700,759300,807500,0.728395061728395,0.91358024691358,0.234567901234568,0.691358024691358,0,0
"118",118,"Census Tract 83.01",70.6,64.3,64.3,68.2,0.365613300492611,115216,121058,121058,130536,112143,637900,669300,669300,652000,676200,0.907407407407407,0.827160493827161,0.302469135802469,0.827160493827161,0,0
"119",119,"Census Tract 83.02",100,95,95,91,0.408822519083969,101667,96823,96823,116875,110563,634000,621500,621500,625000,603200,0.888888888888889,0.777777777777778,0.654320987654321,0.969135802469136,0,0
"120",120,"Census Tract 84.02",66.1,61.2,61.2,81.7,0.26950065416485,54683,64261,64261,88516,61000,558100,563300,563300,591600,519700,0.574074074074074,0.703703703703704,0.882716049382716,0.925925925925926,0,1
"121",121,"Census Tract 84.10",0,9.1,9.1,31.2,0.276091603053435,96667,104710,104710,102900,96417,379100,392500,392500,398400,444100,0.839506172839506,0.580246913580247,0.148148148148148,0.604938271604938,0,0
"122",122,"Census Tract 87.01",0,6.2,6.2,25.5,0.154351437699681,64464,54750,54750,57212,66563,386100,401900,401900,414100,374600,0.604938271604938,0.425925925925926,0.851851851851852,0.555555555555556,0,0
"123",123,"Census Tract 87.02",26.1,28.2,28.2,19.9,0.0619231707317073,41232,51650,51650,54259,31417,363800,360300,360300,356700,400600,0.191358024691358,0.493827160493827,0.141975308641975,0.487654320987654,0,0
"124",124,"Census Tract 88.02",15.5,16.2,16.2,15.7,0.160289855072464,38859,41746,41746,39613,40302,345600,339600,339600,317300,351100,0.358024691358025,0.395061728395062,0.172839506172839,0.432098765432099,1,0
"125",125,"Census Tract 88.03",9.5,5.2,5.2,15,0.151644305772231,37833,27344,27344,18785,29837,309300,236900,236900,225500,241100,0.160493827160494,0.179012345679012,0.216049382716049,0.41358024691358,1,0
"126",126,"Census Tract 88.04",0,0,0,0,0.0391909814323607,25978,26615,26615,27441,28609,255600,256200,256200,237400,245800,0.141975308641975,0.185185185185185,0.314814814814815,0.0864197530864197,1,0
"127",127,"Census Tract 89.03",0,0,0,7,0.073071129707113,26556,30020,30020,34080,25597,236400,238900,238900,233100,237500,0.0925925925925926,0.172839506172839,0.41358024691358,0.302469135802469,1,0
"128",128,"Census Tract 89.04",0,3.6,3.6,7,0.0649714912280702,27620,27601,27601,30295,22195,297600,259600,259600,216500,311100,0.0493827160493827,0.314814814814815,0.0246913580246914,0.302469135802469,1,0
"129",129,"Census Tract 9.01",3.2,1.9,1.9,2.5,0.143255639097744,213889,219583,219583,201250,209931,1e+06,1e+06,1e+06,1e+06,1e+06,1,0.987654320987654,0.481481481481481,0.197530864197531,0,0
